codigo_provincia,codigo_departamento,codigo_circuito,codigo_mesa,codigo_partido,votos
1,1,1,20,3008,1
1,1,1,20,503,71
1,1,1,20,3009,9
1,1,1,20,505,11
1,1,1,20,506,6
1,1,1,21,9001,349
1,1,1,21,9002,249
1,1,1,21,9003,0
1,1,1,21,9004,10
1,1,1,21,9005,2
1,1,1,21,9006,0
1,1,1,21,8,1
1,1,1,21,68,5
1,1,1,21,187,0
1,1,1,21,3001,1
1,1,1,21,3002,0
1,1,1,21,3003,1
1,1,1,21,3004,4
1,1,1,21,234,2
1,1,1,21,324,2
1,1,1,21,325,0
1,1,1,21,501,62
1,1,1,21,3005,5
1,1,1,21,3006,27
1,1,1,21,3007,34
1,1,1,21,3008,3
1,1,1,21,503,72
1,1,1,21,3009,4
1,1,1,21,505,15
1,1,1,21,506,3
1,1,1,22,9001,349
1,1,1,22,9002,245
1,1,1,22,9003,0
1,1,1,22,9004,2
1,1,1,22,9005,5
1,1,1,22,9006,0
1,1,1,22,8,0
1,1,1,22,68,5
1,1,1,22,187,6
1,1,1,22,3001,3
1,1,1,22,3002,0
1,1,1,22,3003,0
1,1,1,22,3004,3
1,1,1,22,234,4
1,1,1,22,324,1
1,1,1,22,325,1
1,1,1,22,501,57
1,1,1,22,3005,15
1,1,1,22,3006,20
1,1,1,22,3007,32
1,1,1,22,3008,2
1,1,1,22,503,62
1,1,1,22,3009,1
1,1,1,22,505,20
1,1,1,22,506,6
1,1,1,23,9001,348
1,1,1,23,9002,0
1,1,1,23,9003,0
1,1,1,23,9004,5
1,1,1,23,9005,0
1,1,1,23,9006,0
1,1,1,23,8,1
1,1,1,23,68,5
1,1,1,23,187,7
1,1,1,23,3001,0
1,1,1,23,3002,0
1,1,1,23,3003,0
1,1,1,23,3004,2
1,1,1,23,234,2
1,1,1,23,324,0
1,1,1,23,325,2
1,1,1,23,501,57
1,1,1,23,3005,12
1,1,1,23,3006,20
1,1,1,23,3007,38
1,1,1,23,3008,0
1,1,1,23,503,68
1,1,1,23,3009,4
1,1,1,23,505,9
1,1,1,23,506,10
1,1,1,24,9001,348
1,1,1,24,9002,256
1,1,1,24,9003,0
1,1,1,24,9004,7
1,1,1,24,9005,2
1,1,1,24,9006,0
1,1,1,24,8,2
1,1,1,24,68,0
1,1,1,24,187,8
1,1,1,24,3001,0
1,1,1,24,3002,0
1,1,1,24,3003,0
1,1,1,24,3004,2
1,1,1,24,234,4
1,1,1,24,324,1
1,1,1,24,325,1
1,1,1,24,501,81
1,1,1,24,3005,9
1,1,1,24,3006,26
1,1,1,24,3007,34
1,1,1,24,3008,4
1,1,1,24,503,56
1,1,1,24,3009,6
1,1,1,24,505,8
1,1,1,24,506,5
1,1,1,25,9001,348
1,1,1,25,9002,250
1,1,1,25,9003,0
1,1,1,25,9004,1
1,1,1,25,9005,5
1,1,1,25,9006,0
1,1,1,25,8,2
1,1,1,25,68,5
1,1,1,25,187,6
1,1,1,25,3001,1
1,1,1,25,3002,0
1,1,1,25,3003,0
1,1,1,25,3004,3
1,1,1,25,234,0
1,1,1,25,324,1
1,1,1,25,325,3
1,1,1,25,501,72
1,1,1,25,3005,8
1,1,1,25,3006,26
1,1,1,25,3007,26
1,1,1,25,3008,1
1,1,1,25,503,68
1,1,1,25,3009,2
1,1,1,25,505,11
1,1,1,25,506,9
1,1,1,26,9001,349
1,1,1,26,9002,247
1,1,1,26,9003,0
1,1,1,26,9004,3
1,1,1,26,9005,4
1,1,1,26,9006,0
1,1,1,26,8,0
1,1,1,26,68,3
1,1,1,26,187,3
1,1,1,26,3001,3
1,1,1,26,3002,0
1,1,1,26,3003,0
1,1,1,26,3004,1
1,1,1,26,234,4
1,1,1,26,324,0
1,1,1,26,325,0
1,1,1,26,501,69
1,1,1,26,3005,12
1,1,1,26,3006,24
1,1,1,26,3007,27
1,1,1,26,3008,3
1,1,1,26,503,72
1,1,1,26,3009,8
1,1,1,26,505,8
1,1,1,26,506,3
1,1,1,27,9001,348
1,1,1,27,9002,268
1,1,1,27,9003,0
1,1,1,27,9004,5
1,1,1,27,9005,3
1,1,1,27,9006,0
1,1,1,27,8,0
1,1,1,27,68,3
1,1,1,27,187,10
1,1,1,27,3001,3
1,1,1,27,3002,0
1,1,1,27,3003,0
1,1,1,27,3004,2
1,1,1,27,234,4
1,1,1,27,324,2
1,1,1,27,325,1
1,1,1,27,501,64
1,1,1,27,3005,12
1,1,1,27,3006,13
1,1,1,27,3007,40
1,1,1,27,3008,3
1,1,1,27,503,84
1,1,1,27,3009,1
1,1,1,27,505,12
1,1,1,27,506,6
1,1,1,28,9001,348
1,1,1,28,9002,255
1,1,1,28,9003,0
1,1,1,28,9004,3
1,1,1,28,9005,4
1,1,1,28,9006,0
1,1,1,28,8,0
1,1,1,28,68,5
1,1,1,28,187,10
1,1,1,28,3001,2
1,1,1,28,3002,0
1,1,1,28,3003,0
1,1,1,28,3004,2
1,1,1,28,234,3
1,1,1,28,324,1
1,1,1,28,325,1
1,1,1,28,501,56
1,1,1,28,3005,11
1,1,1,28,3006,27
1,1,1,28,3007,38
1,1,1,28,3008,1
1,1,1,28,503,63
1,1,1,28,3009,4
1,1,1,28,505,14
1,1,1,28,506,10
1,1,1,29,9001,348
1,1,1,29,9002,255
1,1,1,29,9003,0
1,1,1,29,9004,3
1,1,1,29,9005,6
1,1,1,29,9006,1
1,1,1,29,8,3
1,1,1,29,68,5
1,1,1,29,187,6
1,1,1,29,3001,1
1,1,1,29,3002,0
1,1,1,29,3003,1
1,1,1,29,3004,0
1,1,1,29,234,6
1,1,1,29,324,1
1,1,1,29,325,5
1,1,1,29,501,62
1,1,1,29,3005,15
1,1,1,29,3006,27
1,1,1,29,3007,20
1,1,1,29,3008,2
1,1,1,29,503,67
1,1,1,29,3009,8
1,1,1,29,505,5
1,1,1,29,506,11
1,1,1,30,9001,348
1,1,1,30,9002,0
1,1,1,30,9003,0
1,1,1,30,9004,2
1,1,1,30,9005,10
1,1,1,30,9006,0
1,1,1,30,8,0
1,1,1,30,68,3
1,1,1,30,187,8
1,1,1,30,3001,2
1,1,1,30,3002,0
1,1,1,30,3003,1
1,1,1,30,3004,0
1,1,1,30,234,6
1,1,1,30,324,3
1,1,1,30,325,4
1,1,1,30,501,61
1,1,1,30,3005,13
1,1,1,30,3006,22
1,1,1,30,3007,29
1,1,1,30,3008,2
1,1,1,30,503,60
1,1,1,30,3009,5
1,1,1,30,505,21
1,1,1,30,506,10
1,1,1,31,9001,348
1,1,1,31,9002,259
1,1,1,31,9003,0
1,1,1,31,9004,2
1,1,1,31,9005,5
1,1,1,31,9006,0
1,1,1,31,8,0
1,1,1,31,68,0
1,1,1,31,187,13
1,1,1,31,3001,0
1,1,1,31,3002,0
1,1,1,31,3003,3
1,1,1,31,3004,0
1,1,1,31,234,4
1,1,1,31,324,1
1,1,1,31,325,2
1,1,1,31,501,75
1,1,1,31,3005,19
1,1,1,31,3006,24
1,1,1,31,3007,29
1,1,1,31,3008,0
1,1,1,31,503,54
1,1,1,31,3009,7
1,1,1,31,505,8
1,1,1,31,506,13
1,1,2,32,9001,343
1,1,2,32,9002,237
1,1,2,32,9003,0
1,1,2,32,9004,1
1,1,2,32,9005,8
1,1,2,32,9006,0
1,1,2,32,8,0
1,1,2,32,68,7
1,1,2,32,187,7
1,1,2,32,3001,1
1,1,2,32,3002,0
1,1,2,32,3003,0
1,1,2,32,3004,0
1,1,2,32,234,0
1,1,2,32,324,2
1,1,2,32,325,3
1,1,2,32,501,75
1,1,2,32,3005,13
1,1,2,32,3006,12
1,1,2,32,3007,26
1,1,2,32,3008,1
1,1,2,32,503,57
1,1,2,32,3009,9
1,1,2,32,505,9
1,1,2,32,506,6
1,1,2,33,9001,345
1,1,2,33,9002,299
1,1,2,33,9003,0
1,1,2,33,9004,0
1,1,2,33,9005,8
1,1,2,33,9006,0
1,1,2,33,8,1
