codigo_provincia,provincia,codigo_departamento,departamento,codigo_partido,partido,lista_interna,agrupacion,votos
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,9003,VOTOS IMPUGNADOS,,9003,56
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,9004,VOTOS BLANCOS,,9004,1945
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,9005,VOTOS NULOS,,9005,1607
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,9006,VOTOS RECURRIDOS,,9006,29
1,CIUDAD AUTÓNOMA BS.AS.,5,Comuna 5,9007,EMPADRONADOS,,9007,157397
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,8,PARTIDO FEDERAL,,8,236
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,68,NUEVA IZQUIERDA,,68,1730
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,187,AUTODETERMINACION Y LIBERTAD,,187,3291
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,234,MOVIMIENTO AL SOCIALISMO,,234,894
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,324,PARTIDO FE,,324,309
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,325,MOVIMIENTO UNIDAD DEL TRABAJO Y LA PRODUCCION,,325,753
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,501,FRENTE PARA LA VICTORIA,,501,22151
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,503,UNION PRO,,503,35592
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,505,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,505,4429
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,506,CAMINO POPULAR,,506,4378
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,3001,EL MOVIMIENTO,LISTA A - SEGURIDAD Y JUSTICIA PARA TODOS,262,419
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,3002,EL MOVIMIENTO,LISTA B - REAFIRMACION,262,56
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,3003,EL MOVIMIENTO,LISTA C - RECUPERACION DEMOCRATICA,262,55
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,3004,EL MOVIMIENTO,LISTA D - RENOVACION,262,196
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,3005,UNEN,LISTA JUNTOS,502,10955
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,3006,UNEN,LISTA SUMA MAS,502,15392
1,CIUDAD AUTÓNOMA BS.AS.,6,Comuna 6,3007,UNEN,LISTA COALICION SUR,502,17379
