codigo_partido,partido,lista_interna,agrupacion
3057,FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM,D- LA GLORIOSA LISTA TRES,525
3058,FRENTE PAMPEANO CIVICO Y SOCIAL - FREPAM,T- JUNTOS POR LA PAMPA,525
3059,UNION CIVICA RADICAL,LISTA A  PARTICIPACION Y PROPUESTA,3
3060,UNION CIVICA RADICAL,LISTA B  ALTERNATIVA Y DIGNIDAD PARTIDARIA,3
3061,FRENTE AMPLIO PROGRESISTA-COALICION CIVICA-ARI,LISTA  A  COALICION CIVICA ARI,528
3062,FRENTE AMPLIO PROGRESISTA-COALICION CIVICA-ARI,LISTA  B  FRENTE AMPLIO PROGRESISTA,528
3063,UNION CIVICA RADICAL,POR MISIONES,3
3064,UNION CIVICA RADICAL,ALTERNATIVA RADICAL,3
3066,FRENTE PARA LA VICTORIA,LISTA LA FUERZA DE LA JUVENTUD,501
3067,FRENTE PARA LA VICTORIA,LISTA CELESTE Y BLANCA LETRA K,501
3069,FRENTE UNIDOS,LISTA UNIDOS POR LA JUSTICIA Y A DIGNIDAD,531
3070,FRENTE UNIDOS,LISTA CAMIONEROS CON LA GENTE,531
3071,FRENTE UNIDOS,LISTA CULTURA DE TRABAJO,531
3072,MOVIMIENTO POPULAR NEUQUINO,LETRA A LISTA AZUL,153
3073,MOVIMIENTO POPULAR NEUQUINO,LETRA B LISTA AZUL Y BLANCA,153
3074,FRENTE PARA LA VICTORIA,LISTA 2 COLOR CELESTE Y BLANCA K,501
3075,FRENTE PARA LA VICTORIA,AMARILLO LETRA E,501
3076,COMPROMISO CIVICO NEUQUINO,ELEGI CORAJE Y TRANSPARENCIA,532
3077,COMPROMISO CIVICO NEUQUINO,COMPROMISO CON NEUQUEN,532
3078,UNION CIVICA RADICAL,LISTA ROJO MAS ROJO A,3
3079,UNION CIVICA RADICAL,LISTA ROJA Y BLANCA B,3
3080,UNION CIVICA RADICAL,LISTA BLANCA MAS BLANCA C,3
3081,PARTIDO PROVINCIAL RIONEGRINO,RECUPERACION FEDERAL LISTA NARANJA 151 A,154
3082,PARTIDO PROVINCIAL RIONEGRINO,LISTA 151 B,154
3084,PARTIDO JUSTICIALISTA,LISTA:  EL CAMBIO SOMOS NOSOTROS  - LETRA:  B,2
3085,PARTIDO JUSTICIALISTA,LISTA:  LEALTAD 17 DE OCTUBRE - LETRA:  C,2
3086,FRENTE PARA LA VICTORIA,LISTA:  CELESTE Y BLANCA  - LETRA  A,501
3087,FRENTE PARA LA VICTORIA,LISTA:  NACIONAL Y POPULAR  - LETRA:  B,501
3088,FRENTE DEL PUEBLO,LISTA IZQUIERDA ROJA Y VERDE,537
3089,FRENTE DEL PUEBLO,LISTA DEL TRABAJO Y DEL PUEBLO,537
3090,COMPROMISO FEDERAL,LISTA ACTUAR UNIDOS POR SAN JUAN,504
3091,COMPROMISO FEDERAL,LISTA SEGURIDAD Y JUSTICIA,504
3092,COMPROMISO FEDERAL,LISTA UNIDAD,504
3093,COMPROMISO FEDERAL,LISTA AZUL Y BLANCA,504
3094,COMPROMISO FEDERAL,LISTA UNIDOS POR ARGENTINA,504
3096,PARTIDO JUSTICIALISTA,FUERZA SANTA CRUZ,2
3097,PARTIDO JUSTICIALISTA,EVA PERON,2
3098,PARTIDO JUSTICIALISTA,LEALTAD Y MILITANCIA,2
3099,UNION PARA VIVIR MEJOR,LISTA  JUNTOS POR EL CAMBIO,538
3100,UNION PARA VIVIR MEJOR,LISTA  PROYECTO ALTERNATIVO,538
3101,FRENTE PARA LA VICTORIA,LISTA N.1 CELESTE Y BLANCA K,501
3102,FRENTE PARA LA VICTORIA,LISTA N.2 AMARILLA MUP,501
3103,FRENTE ACUERDO CIVICO Y SOCIAL,LISTA A: SOCIAL CRISTIANA,543
3104,FRENTE ACUERDO CIVICO Y SOCIAL,LISTA B:UNIDAD POR LA REPUBLICA,543
3105,FRENTE ACUERDO CIVICO Y SOCIAL,LISTA C: BOINA BLANCA,543
3106,FRENTE ACUERDO CIVICO Y SOCIAL,LISTA D: TUCUMAN PARA TODOS,543
3107,FRENTE ACUERDO CIVICO Y SOCIAL,LISTA E: MARIO ABEL AMAYA,543
3108,FRENTE ACUERDO CIVICO Y SOCIAL,LISTA F: ARTURO ILLIA,543
3109,FRENTE ACUERDO CIVICO Y SOCIAL,LISTA G: FORO AMPLIO PROGRESISTA (FAP),543
3110,PARTIDO JUSTICIALISTA,LISTA  UNIDOS POR EL PROGRESO Y EL DESARROLLO  - LETRA  A,2
3111,PARTIDO JUSTICIALISTA,LISTA  UNIDAD PERONISTA  - LETRA  B,2
